video_title,channel,author,text,likes,replies,primary,all,length,published_at
"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@bintolly,"주변에 혼자서도 잘 지내는 사람들 보면 덕질하듯이 파고드는 탐구형이 많더라. 외국어, 재테크, 운동 등 건강한 취미생활을 공부하듯이 혼자서 꾸준히 열심히 함",1447,6,지식,지식|자기참조,87,2023-10-14
혼자가 편한 사람 특징,픽고 PICKGO,@youyeo,와 마음 돌려주는 것조차 에너지 써야되는거 진짜 ㅇㅈ,1432,78,기타,,29,2023-04-22
혼자서 잘 사는 사람 특징,놀면서 배우는 심리학,@user-nomind,세상 살면서 느끼는건데 인생에서 가장 걸지적거리는것이 타인이다 타인만 없으면 인생 기본은 간다,1417,15,자기서사,자기서사,52,2024-12-19
똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@뱀비-h7b,친구? 내 슬픔은 약점이 되고 내 기쁨은 시기와 질투로 돌아오더군요! 혼자가 편합니다!,1409,50,자기참조,자기참조,48,2024-12-11
‼️혼자일 때 (이때가) 진짜 삶을 바꿀 기회다.ㅣ'이혼숙려캠프 상담가' 이호선 숭실사이버대학교 교수ㅣ인생강의,하와이 대저택,@melbun20,혼자 잘노는사람 최고인생❤😊,1403,15,기타,,16,2025-04-10
은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@miseoji,결혼해도 외롭습니다. 결국은 나혼자고.. 가장으로써 책임은 많지만 정작 가족들이 날 생각해주진 않습니다. 은지원씨말대로 내가 우선이 되어야합니다.,1389,42,자기서사,자기서사|자기참조,81,2024-04-25
"혼자 시간을 보내는 사람이 매력 있는 이유, 외로움을 다루는 방법 (feat.오은영)[인스타그램, 인스타중독, SNS, 오은영, 외로움, 자존감, 우울증]",도서관 오목눈이,@seoseoseo0202,무언가에 집중하면 외로움을 느낄세도 없다는것 ㄹㅇ공감...,1373,13,위안,위안|정체성확인,32,2023-03-13
은지원 명언 l 결혼을 신중하게 해야하는 이유.,멘탈케어::힐링 심리학 채널::,@IwillyourIdol,혼자는 외로운게 아니라 자유로운것,1351,40,위안,위안,18,2024-05-05
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@핑키니,생일은 같이 사는 가족이랑 케이크 불면 되고 굳이 다른 사람에게 축하 안받아도 됨 챙기는거 귀찮고 불편,1343,6,자기서사,자기서사,57,2026-04-03
똑똑한 사람일수록 친구 적고 외로움 덜 타는 이유ㅣ인간설명서 EP.6,지식인사이드,@zephyrtro2317,"혼자있을수 있는 능력이 탁월하다 라고 하셨는데, 이것도 정말 중요한 재능인것 같네요",1328,20,기타,,46,2024-12-06
"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@KotoshimoArigatoudes,만나봐야 마이너스인 사람만 많이 있다..,1320,8,기타,,22,2025-12-23
‼️혼자일 때 (이때가) 진짜 삶을 바꿀 기회다.ㅣ'이혼숙려캠프 상담가' 이호선 숭실사이버대학교 교수ㅣ인생강의,하와이 대저택,@나야-i4r,수다떨기 좋아하는 사람중에 긍정적인 사람은 없는 거 같아요. 맨날 남욕..연예인 이야기.. 부정적인 이야기.. 일어나지 않은 일 걱정.. 남의 에너지 뺏는줄 모르고 얘기함..ㅜㅜ,1282,38,자기참조,자기참조,99,2025-04-09
"혼자 있을 때 더 편안한 사람, 알고보니 '이 유형' 입니다 (김경일 교수님 통합본)",책과삶,@장승의후예,생일 별거 없음. 걍 조용히 지나가는게 좋음.,1278,12,기타,,25,2026-05-03
"""친구 한 명도 없는 것, 오히려 좋다"" 혼자 있는 시간이 많을수록 점점 똑똑해지는 이유 (이헌주 교수 통합본)",책과삶,@yongsoopark9530,"혼자있을때가 가장좋다 그림그리기,독서(인문학),유트브보기 외로움은 없음",1277,15,위안,위안,39,2025-12-23
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@jao-c7g,장례식도 자녀 결혼식도 남들을 왜 불러서 치뤄야 하는지 모르겠는 1인 입니다 신고만하고 끝내지 정말 귀찬음,1264,23,자기서사,자기서사,59,2026-04-03
함께 있어도 혼자 겉도는 사람의 2가지 특징,비치키,@JohnKim-wx6vt,마음은 솔직히 크게 없는데 약간 ’의무적‘인 감정으로 어떤 무리에 남아있을 때 겉도는 것 같음. 딱히 맘에 맞는 멤버도 많이 없는데도 그냥 뭔가 ’사회생활‘하듯이 남아있다가 점전 들러리 취급받는 거 알고 슬슬 거리 더다가 아예 손절 치는 거,1260,5,자기참조,자기참조,134,2026-01-17
혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부),책과삶,@영숙김-m3f,생일은 내가 챙겨 먹는게 아니구 낳아준 부모님께 챙겨드림이 맞는거 같어요.낳느라고 고생 하셨고 기르느라 수고 하셨으니,1259,39,자기참조,자기참조,65,2026-04-03
혼자 있을 때 가장 행복한 사람 특징,놀면서 배우는 심리학,@user-ih1111,ㄹㅇ 혼자가 제일 마음편하고 행복함 기빨릴 일 없음,1250,6,자기참조,자기참조,28,2024-06-30
